reading_id,device_id,timestamp,energy_kwh,region,customer_segment,cost_in_inr
R00001,D009,2025-01-01 00:00:00,2.47,North,Residential,19.76
R00002,D009,2025-01-01 01:00:00,4.88,East,Commercial,39.04
R00003,D035,2025-01-01 02:00:00,0.8,West,Residential,6.4
R00004,D031,2025-01-01 03:00:00,1.97,North,Commercial,15.76
R00005,D048,2025-01-01 04:00:00,2.62,East,Commercial,20.96
R00006,D031,2025-01-01 05:00:00,2.01,East,Commercial,16.08
R00007,D045,2025-01-01 06:00:00,1.07,South,Commercial,8.56
R00008,D034,2025-01-01 07:00:00,2.79,North,Commercial,22.32
R00009,D017,2025-01-01 08:00:00,0.79,East,Commercial,6.32
R00010,D041,2025-01-01 09:00:00,4.3,North,Residential,34.4
R00011,D022,2025-01-01 10:00:00,0.41,East,Commercial,3.28
R00012,D014,2025-01-01 11:00:00,2.9,East,Commercial,23.2
R00013,D042,2025-01-01 12:00:00,3.91,East,Residential,31.28
R00014,D018,2025-01-01 13:00:00,2.4,West,Commercial,19.2
R00015,D013,2025-01-01 14:00:00,3.55,East,Commercial,28.4
R00016,D043,2025-01-01 15:00:00,4.71,North,Residential,37.68
R00017,D046,2025-01-01 16:00:00,4.81,East,Residential,38.48
R00018,D024,2025-01-01 17:00:00,4.52,East,Residential,36.16
R00019,D042,2025-01-01 18:00:00,3.53,South,Residential,28.24
R00020,D037,2025-01-01 19:00:00,3.83,East,Commercial,30.64
R00021,D017,2025-01-01 20:00:00,3.25,East,Commercial,26.0
R00022,D002,2025-01-01 21:00:00,0.74,East,Residential,5.92
R00023,D013,2025-01-01 22:00:00,2.8,South,Residential,22.4
R00024,D028,2025-01-01 23:00:00,4.33,North,Commercial,34.64
R00025,D037,2025-01-02 00:00:00,1.24,West,Residential,9.92
R00026,D045,2025-01-02 01:00:00,2.25,North,Residential,18.0
R00027,D048,2025-01-02 02:00:00,1.0,West,Commercial,8.0
R00028,D045,2025-01-02 03:00:00,2.07,West,Residential,16.56
R00029,D043,2025-01-02 04:00:00,0.86,South,Commercial,6.88
R00030,D031,2025-01-02 05:00:00,4.17,East,Residential,33.36
R00031,D026,2025-01-02 06:00:00,4.81,West,Residential,38.48
R00032,D041,2025-01-02 07:00:00,0.11,West,Residential,0.88
R00033,D004,2025-01-02 08:00:00,2.73,West,Residential,21.84
R00034,D032,2025-01-02 09:00:00,4.63,South,Residential,37.04
R00035,D013,2025-01-02 10:00:00,1.49,East,Commercial,11.92
R00036,D050,2025-01-02 11:00:00,1.91,South,Residential,15.28
R00037,D008,2025-01-02 12:00:00,1.07,East,Commercial,8.56
R00038,D041,2025-01-02 13:00:00,0.25,South,Residential,2.0
R00039,D016,2025-01-02 14:00:00,3.85,South,Commercial,30.8
R00040,D047,2025-01-02 15:00:00,2.46,West,Residential,19.68
R00041,D042,2025-01-02 16:00:00,2.41,East,Commercial,19.28
R00042,D002,2025-01-02 17:00:00,0.53,West,Commercial,4.24
R00043,D001,2025-01-02 18:00:00,3.98,South,Commercial,31.84
R00044,D004,2025-01-02 19:00:00,1.01,East,Residential,8.08
R00045,D018,2025-01-02 20:00:00,2.14,East,Commercial,17.12
R00046,D007,2025-01-02 21:00:00,4.41,North,Residential,35.28
R00047,D025,2025-01-02 22:00:00,2.15,South,Residential,17.2
R00048,D040,2025-01-02 23:00:00,1.5,North,Commercial,12.0
R00049,D019,2025-01-03 00:00:00,2.16,West,Commercial,17.28
R00050,D021,2025-01-03 01:00:00,3.56,South,Commercial,28.48
R00051,D030,2025-01-03 02:00:00,3.5,East,Residential,28.0
R00052,D033,2025-01-03 03:00:00,0.63,North,Commercial,5.04
R00053,D029,2025-01-03 04:00:00,2.56,South,Residential,20.48
R00054,D017,2025-01-03 05:00:00,0.22,East,Commercial,1.76
R00055,D029,2025-01-03 06:00:00,2.65,West,Commercial,21.2
R00056,D044,2025-01-03 07:00:00,3.65,East,Residential,29.2
R00057,D050,2025-01-03 08:00:00,0.75,West,Commercial,6.0
R00058,D005,2025-01-03 09:00:00,2.25,West,Residential,18.0
R00059,D049,2025-01-03 10:00:00,2.04,East,Commercial,16.32
R00060,D041,2025-01-03 11:00:00,1.6,South,Commercial,12.8
R00061,D021,2025-01-03 12:00:00,1.38,East,Commercial,11.04
R00062,D003,2025-01-03 13:00:00,1.11,South,Residential,8.88
R00063,D037,2025-01-03 14:00:00,4.31,West,Residential,34.48
R00064,D001,2025-01-03 15:00:00,0.74,North,Commercial,5.92
R00065,D044,2025-01-03 16:00:00,4.98,North,Residential,39.84
R00066,D026,2025-01-03 17:00:00,1.55,East,Commercial,12.4
R00067,D031,2025-01-03 18:00:00,0.93,South,Residential,7.44
R00068,D006,2025-01-03 19:00:00,4.15,South,Residential,33.2
R00069,D044,2025-01-03 20:00:00,1.81,East,Residential,14.48
R00070,D012,2025-01-03 21:00:00,4.93,West,Commercial,39.44
R00071,D029,2025-01-03 22:00:00,4.66,East,Residential,37.28
R00072,D045,2025-01-03 23:00:00,2.59,East,Residential,20.72
R00073,D026,2025-01-04 00:00:00,4.62,North,Commercial,36.96
R00074,D043,2025-01-04 01:00:00,0.43,West,Commercial,3.44
R00075,D006,2025-01-04 02:00:00,2.7,East,Residential,21.6
R00076,D011,2025-01-04 03:00:00,1.57,South,Residential,12.56
R00077,D037,2025-01-04 04:00:00,0.52,West,Residential,4.16
R00078,D024,2025-01-04 05:00:00,3.64,East,Residential,29.12
