device_id,home_id,device_type,room
D001,H010,SmartWasher,Laundry
D002,H019,SmartAC,Kitchen
D003,H002,SmartPlug,Kitchen
D004,H014,SmartAC,Kitchen
D005,H002,SmartWasher,Bedroom
D006,H015,SmartHeater,Bedroom
D007,H011,SmartAC,Laundry
D008,H005,SmartWasher,Laundry
D009,H017,SmartHeater,Laundry
D010,H010,SmartFridge,LivingRoom
D011,H018,SolarPanel,Garage
D012,H003,SmartHeater,Laundry
D013,H016,SolarPanel,Bedroom
D014,H003,SmartHeater,Garage
D015,H011,SolarPanel,Garage
D016,H005,SmartAC,LivingRoom
D017,H018,SmartFridge,Laundry
D018,H003,SmartFridge,Garage
D019,H014,SmartPlug,Laundry
D020,H013,SmartAC,Garage
D021,H019,SmartHeater,Laundry
D022,H006,SolarPanel,Garage
D023,H011,SmartPlug,Laundry
D024,H003,SmartAC,Bedroom
D025,H004,SmartFridge,Kitchen
D026,H008,SmartHeater,Kitchen
D027,H015,SmartFridge,Kitchen
D028,H017,SolarPanel,LivingRoom
D029,H020,SmartWasher,Bedroom
D030,H005,SmartWasher,Garage
D031,H008,SmartHeater,Kitchen
D032,H008,SmartPlug,Garage
D033,H006,SmartWasher,Kitchen
D034,H001,SmartFridge,Garage
D035,H016,SmartFridge,Bedroom
D036,H009,SmartFridge,Kitchen
D037,H007,SmartHeater,Laundry
D038,H002,SmartAC,Garage
D039,H004,SmartAC,Garage
D040,H017,SmartWasher,Garage
D041,H018,SmartAC,Bedroom
D042,H001,SmartPlug,Bedroom
D043,H014,SmartAC,Garage
D044,H006,SmartAC,Garage
D045,H007,SmartPlug,Laundry
D046,H008,SmartWasher,Kitchen
D047,H013,SolarPanel,Kitchen
D048,H019,SmartPlug,LivingRoom
D049,H012,SolarPanel,Bedroom
D050,H004,SolarPanel,Garage
